cbsa15,cbsaname15,pop_acs16,median_age,in_migration_from_diff_msa,per_capita_income,aggr_income_billion,percent_in_labor_force,percent_employed,income_above_poverty_line,households_not_receiving_food_stamp_snap,bachelors_degree_or_higher,internet_subscription,broadband_subscription,research_universities,male_female_ratio,gmp_billion_usd,cagr01to15,cagr10to15,inc5000_count,inc5000_per1M,fortune1000_count,fortune1000_per1M,restaurants_count,restaurants_per10K,gini,patents_count,patents_per10K,fips_state,state_abbr,state_name,census_region,lon,lat,unicorns_count,unicorns_per1M
14010,"Bloomington, IL Metro Area",187326,33.9,0.06,32178,6.03,0.69,0.96,0.87,0.89,0.45,0.83,0.67,1,0.96,9.4,0.00550929,-0.006813877,1,5,4,21,135,7.1,0.46,437,23,17,IL,Illinois,Midwest,-88.950868,40.465437,0,0
14020,"Bloomington, IN Metro Area",166336,30.2,0.1,26425,4.4,0.62,0.94,0.76,0.9,0.42,0.82,0.68,1,1.01,5.9,0.012378351,-0.009745873,7,43,0,0,130,7.9,0.5,933,57,18,IN,Indiana,Midwest,-86.573148,39.183531,0,0
14100,"Bloomsburg-Berwick, PA Metro Area",84763,41.3,0.04,26551,2.25,0.59,0.96,0.87,0.91,0.26,0.78,0.62,0,0.92,3.5,0.013830025,0.008048501,1,12,0,0,68,7.9,0.46,0,0,42,PA,Pennsylvania,Northeast,-76.442003,41.029029,0,0
14260,"Boise City, ID Metro Area",690214,36.2,0.04,27789,19.18,0.65,0.95,0.87,0.9,0.32,0.78,0.65,1,1,27.4,0.022374997,0.020587748,28,42,14,21,433,6.5,0.45,19188,289,16,ID,Idaho,West,-116.412399,43.617577,0,0
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4794447,38.8,0.03,43044,206.37,0.69,0.95,0.9,0.9,0.5,0.87,0.79,12,0.95,355.9,0.015929324,0.016917838,587,124,85,18,4082,8.6,0.48,62653,132,25,MA,Massachusetts,Northeast,-71.106145,42.430164,5,1.06
14500,"Boulder, CO Metro Area",322226,36.4,0.1,41258,13.29,0.68,0.95,0.89,0.96,0.62,0.91,0.81,1,1.01,21.5,0.013733268,0.029422939,77,246,1,3,340,10.9,0.48,9558,305,8,CO,Colorado,West,-105.183938,40.063299,0,0
14540,"Bowling Green, KY Metro Area",174560,35,0.06,24197,4.22,0.62,0.95,0.8,0.87,0.27,0.83,0.63,0,0.98,5.9,0.023944002,0.021830812,5,30,0,0,107,6.5,0.46,172,10,21,KY,Kentucky,South,-86.411994,36.979645,0,0
14740,"Bremerton-Silverdale, WA Metro Area",264811,38.5,0.06,34035,9.01,0.61,0.95,0.9,0.89,0.31,0.9,0.81,0,1.03,9.1,0.007745936,0.003149739,3,12,0,0,167,6.6,0.43,7923,312,53,WA,Washington,West,-122.632773,47.613056,0,0
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",944177,40.4,0.03,52344,49.42,0.68,0.93,0.91,0.91,0.49,0.87,0.79,0,0.95,89.3,0.010033235,0.01839379,101,107,53,56,917,9.7,0.54,9721,103,9,CT,Connecticut,Northeast,-73.364439,41.207889,1,1.06
15180,"Brownsville-Harlingen, TX Metro Area",422135,31.5,0.01,15886,6.71,0.55,0.93,0.71,0.77,0.18,0.55,0.4,0,0.94,8.5,0.018362272,0.012787619,1,2,0,0,253,6,0.5,95,2,48,TX,Texas,South,-97.557094,26.045736,0,0
